Astrobee Movement Tracking Data
Time: 0.54, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.87, 0.03)
Time: 0.54, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.88, 0.03)
Time: 0.55, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.89, 0.03)
Time: 0.55, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.89, 0.03)
Time: 0.55, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.90, 0.03)
Time: 0.55, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.91, 0.03)
Time: 0.55, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.92, 0.03)
Time: 0.56, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.93, 0.03)
Time: 0.56, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.94, 0.03)
Time: 0.56, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.95, 0.03)
Time: 0.56, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.95, 0.03)
Time: 0.56, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.96, 0.03)
Time: 0.56, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.97, 0.03)
Time: 0.57, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.97, 0.03)
Time: 0.57, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.99, 0.03)
Time: 0.57, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.99, 0.03)
Time: 0.57, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.01, 0.03)
Time: 0.57, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.01, 0.03)
Time: 0.57, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.02, 0.03)
Time: 0.58, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.03, 0.03)
Time: 0.58, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.04, 0.03)
Time: 0.58, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.04, 0.03)
Time: 0.58, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.05, 0.03)
Time: 0.58, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.06, 0.03)
Time: 0.59, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.07, 0.03)
Time: 0.59, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.08, 0.03)
Time: 0.59, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.08, 0.03)
Time: 0.59, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.09, 0.03)
Time: 0.59, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.10, 0.03)
Time: 0.59, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.11, 0.03)
Time: 0.60, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.12, 0.03)
Time: 0.60, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.13, 0.03)
Time: 0.60, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.13, 0.03)
Time: 0.61, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.14, 0.03)
Time: 0.61, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.16, 0.03)
Time: 0.61, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.17, 0.03)
Time: 0.61, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.19, 0.03)
Time: 0.61, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.20, 0.03)
Time: 0.62, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 301.21, 0.03)
